# realization, C(theta=180) 
6.300000000000000000e+01 3.075806610380649317e+02
6.400000000000000000e+01 5.370890308328433775e+02
6.500000000000000000e+01 2.120935614683165795e+02
6.600000000000000000e+01 3.504080457266724125e+00
6.700000000000000000e+01 -2.245582971298937309e+02
6.800000000000000000e+01 7.024497269928866672e+01
6.900000000000000000e+01 2.206937161398890623e+02
7.000000000000000000e+01 4.321663358994621831e+02
7.100000000000000000e+01 9.032730783713234359e+02
7.200000000000000000e+01 2.185953245962215874e+01
7.300000000000000000e+01 5.770398922898614558e+00
7.400000000000000000e+01 9.164886878335269103e+02
7.500000000000000000e+01 -6.750982739672292610e+01
7.600000000000000000e+01 4.102224590936438631e+02
7.700000000000000000e+01 7.230995778505840690e+02
7.800000000000000000e+01 3.739894460583943783e+02
7.900000000000000000e+01 1.973013027687850354e+02
8.000000000000000000e+01 4.243944658956706917e+02
8.100000000000000000e+01 -4.196609729882596866e+02
8.200000000000000000e+01 3.727669960068889168e+02
8.300000000000000000e+01 1.570522808792962223e+03
8.400000000000000000e+01 3.116008158994454220e+02
8.500000000000000000e+01 2.816391683247877609e+02
8.600000000000000000e+01 -1.743148219149880163e+02
8.700000000000000000e+01 7.426261157606154484e+02
8.800000000000000000e+01 7.494946807952137533e+02
8.900000000000000000e+01 -2.937631894077043171e+02
9.000000000000000000e+01 7.037802540375899980e+02
9.100000000000000000e+01 3.700008240998336078e+02
9.200000000000000000e+01 4.800427908289182142e+02
9.300000000000000000e+01 -3.219163939213680692e+02
9.400000000000000000e+01 3.441477339565047942e+02
9.500000000000000000e+01 -1.046644695070068565e+02
9.600000000000000000e+01 2.069937037084488338e+02
9.700000000000000000e+01 4.207848524476958687e+02
9.800000000000000000e+01 1.627646858986976895e+03
9.900000000000000000e+01 6.086497449425577599e+01
1.000000000000000000e+02 1.627822820065975691e+02
1.010000000000000000e+02 1.817114361724551372e+02
1.020000000000000000e+02 2.462969840412156941e+01
1.030000000000000000e+02 -5.451758242361712803e+01
1.040000000000000000e+02 3.487996837827004697e+02
1.050000000000000000e+02 9.036191610054878538e+02
1.060000000000000000e+02 4.324334024964842911e+02
1.070000000000000000e+02 4.355351939205407916e+02
1.080000000000000000e+02 3.833609667744113381e+02
1.090000000000000000e+02 3.526828550858101607e+02
1.100000000000000000e+02 -1.725864151992144855e+02
1.110000000000000000e+02 2.988606287253687697e+02
1.120000000000000000e+02 8.516778976347163166e+01
1.130000000000000000e+02 6.759393658312815205e+02
1.140000000000000000e+02 2.738867652762144900e+01
1.150000000000000000e+02 5.022385070923255626e+02
1.160000000000000000e+02 -1.734059324755864395e+02
1.170000000000000000e+02 2.338915975033917505e+02
1.180000000000000000e+02 2.393831714257529768e+02
1.190000000000000000e+02 8.461024998034923783e+02
1.200000000000000000e+02 6.520195079513453038e+02
1.210000000000000000e+02 1.576017547359371918e+02
1.220000000000000000e+02 -3.776193238167859363e+02
1.230000000000000000e+02 4.224317395407598497e+01
