# realization, S_1/2
2.920000000000000000e+02 8.911828824514847656e+04
2.930000000000000000e+02 1.315965581729602127e+04
2.940000000000000000e+02 1.148594218984872423e+05
2.950000000000000000e+02 2.604029433532143230e+04
2.960000000000000000e+02 3.284812309888531308e+04
2.970000000000000000e+02 9.048562107509991620e+04
2.980000000000000000e+02 1.147065071864737183e+04
2.990000000000000000e+02 6.011982121472777362e+04
3.000000000000000000e+02 4.839714570608448412e+04
3.010000000000000000e+02 2.848449160274023961e+04
3.020000000000000000e+02 3.295182132695405744e+04
3.030000000000000000e+02 3.822631266893420252e+04
3.040000000000000000e+02 2.735753289442126334e+04
3.050000000000000000e+02 3.142349307467404651e+04
3.060000000000000000e+02 2.348328139920667309e+04
3.070000000000000000e+02 7.898484385263274817e+03
3.080000000000000000e+02 3.259241312117825873e+04
3.090000000000000000e+02 2.924284170711430124e+04
3.100000000000000000e+02 3.311036230356088345e+04
3.110000000000000000e+02 2.423530760634722901e+04
3.120000000000000000e+02 2.390339171999058744e+05
3.130000000000000000e+02 1.706866070920992934e+04
3.140000000000000000e+02 2.627285562204410235e+04
3.150000000000000000e+02 2.470601562530476440e+04
3.160000000000000000e+02 1.474745736612492510e+04
3.170000000000000000e+02 1.578843642988008105e+04
3.180000000000000000e+02 8.730770906481669954e+03
3.190000000000000000e+02 5.079598557754784997e+04
3.200000000000000000e+02 1.460515998325685505e+05
3.210000000000000000e+02 5.781232486836983298e+04
3.220000000000000000e+02 2.569733745602265572e+03
3.230000000000000000e+02 3.031159245526258019e+03
3.240000000000000000e+02 6.595212691091425950e+04
3.250000000000000000e+02 9.070546642079480807e+04
3.260000000000000000e+02 3.301701626193089032e+04
3.270000000000000000e+02 3.403511355966848350e+04
3.280000000000000000e+02 7.192466956510263117e+03
3.290000000000000000e+02 1.627640212600344967e+04
3.300000000000000000e+02 3.146687966342219079e+04
3.310000000000000000e+02 7.903257398278880828e+03
3.320000000000000000e+02 3.090299780445908254e+04
3.330000000000000000e+02 5.445501674423052464e+04
3.340000000000000000e+02 2.684238547585415654e+04
3.350000000000000000e+02 7.027222643537312979e+04
3.360000000000000000e+02 1.155571953857713925e+04
3.370000000000000000e+02 8.150795864261320094e+04
3.380000000000000000e+02 1.217687618449965084e+05
3.390000000000000000e+02 3.634369414602869074e+04
3.400000000000000000e+02 5.161752113473153440e+05
3.410000000000000000e+02 5.907008120790346584e+04
3.420000000000000000e+02 5.153464661155807698e+04
3.430000000000000000e+02 3.911316564160881535e+04
3.440000000000000000e+02 3.847047260866629222e+04
3.450000000000000000e+02 2.145102488618736970e+04
3.460000000000000000e+02 1.867095600816091173e+05
3.470000000000000000e+02 4.467623578747026477e+04
3.480000000000000000e+02 1.506527985975069460e+05
3.490000000000000000e+02 1.611387597968232330e+04
3.500000000000000000e+02 5.625054879094035277e+04
3.510000000000000000e+02 6.057259429907034246e+03
3.520000000000000000e+02 3.308336503319117037e+04
3.530000000000000000e+02 9.824238592441573564e+04
3.540000000000000000e+02 1.034994359480476669e+04
3.550000000000000000e+02 6.316926229979663185e+04
3.560000000000000000e+02 5.164200092173965095e+04
3.570000000000000000e+02 1.490427854638076678e+04
3.580000000000000000e+02 1.682796123820111097e+05
3.590000000000000000e+02 5.427380728749808623e+05
3.600000000000000000e+02 1.474920128101087903e+04
3.610000000000000000e+02 2.092124318470230355e+04
3.620000000000000000e+02 6.791699339764051547e+04
3.630000000000000000e+02 5.055095446222067403e+04
3.640000000000000000e+02 4.952662649804790999e+04
3.650000000000000000e+02 2.757236029331925965e+04
3.660000000000000000e+02 4.445445576581297064e+04
3.670000000000000000e+02 2.772673704525151334e+04
3.680000000000000000e+02 1.153098663794224558e+04
3.690000000000000000e+02 4.516589290655943842e+03
3.700000000000000000e+02 2.303328700038173120e+05
3.710000000000000000e+02 1.181798453799749950e+04
3.720000000000000000e+02 1.911794448290067885e+04
3.730000000000000000e+02 1.868417355247637170e+04
