# realization, C_[ell=3] 
6.268200000000000000e+04 1.618177608095016353e+02
6.268300000000000000e+04 4.649857680495508703e+02
6.268400000000000000e+04 4.720992425298428543e+02
6.268500000000000000e+04 3.356655965665173653e+02
6.268600000000000000e+04 3.034354296357881822e+02
6.268700000000000000e+04 6.516487444686575827e+02
6.268800000000000000e+04 4.558443426601797341e+02
6.268900000000000000e+04 1.197669668094674080e+03
6.269000000000000000e+04 1.243582262537553788e+03
6.269100000000000000e+04 8.190543566350780793e+02
6.269200000000000000e+04 5.600552196125335058e+02
6.269300000000000000e+04 4.389012268172408540e+02
6.269400000000000000e+04 5.838930070127963745e+02
6.269500000000000000e+04 3.768718220001642294e+02
6.269600000000000000e+04 4.226884450282097418e+02
6.269700000000000000e+04 1.054945287237574803e+03
6.269800000000000000e+04 7.367566291911582539e+02
6.269900000000000000e+04 6.174002849542898730e+02
6.270000000000000000e+04 9.351946948248983063e+02
6.270100000000000000e+04 3.556849659879636647e+02
6.270200000000000000e+04 8.423842299938921769e+02
6.270300000000000000e+04 4.430528415447432735e+02
6.270400000000000000e+04 3.011370124955896017e+02
6.270500000000000000e+04 3.407145313082918960e+02
6.270600000000000000e+04 3.195567968290465615e+02
6.270700000000000000e+04 4.712343326223021336e+02
6.270800000000000000e+04 6.279844658722016959e+01
6.270900000000000000e+04 5.425332820619025824e+02
6.271000000000000000e+04 4.909609672959604723e+02
6.271100000000000000e+04 9.831709235688354056e+02
6.271200000000000000e+04 4.406507522692298835e+02
6.271300000000000000e+04 3.945064363363105713e+02
6.271400000000000000e+04 4.591442138110825226e+02
6.271500000000000000e+04 2.634592845408723178e+02
6.271600000000000000e+04 5.137308779237239378e+02
6.271700000000000000e+04 4.952586455955046745e+02
6.271800000000000000e+04 3.142242238064019375e+02
6.271900000000000000e+04 6.163703095689392057e+02
6.272000000000000000e+04 2.234013676351682420e+02
6.272100000000000000e+04 6.441160958025072887e+02
6.272200000000000000e+04 3.087561878483094233e+02
6.272300000000000000e+04 7.084119333487464019e+02
6.272400000000000000e+04 1.021951752573155659e+03
6.272500000000000000e+04 1.666156377332646912e+02
