# realization, C(theta=180) 
4.820000000000000000e+02 2.587438515911212562e+02
4.830000000000000000e+02 1.930415352959720394e+02
4.840000000000000000e+02 -1.154971545039977343e+02
4.850000000000000000e+02 1.569915804628399769e+02
4.860000000000000000e+02 7.198206356385053368e+02
4.870000000000000000e+02 7.605080201647449485e+02
4.880000000000000000e+02 3.747853292892502850e+02
4.890000000000000000e+02 3.085790317133694316e+01
4.900000000000000000e+02 6.448156595393187445e+02
4.910000000000000000e+02 5.929593396535965439e+02
4.920000000000000000e+02 1.112443394556656813e+03
4.930000000000000000e+02 -1.262605465856661908e+02
4.940000000000000000e+02 3.647699259817258053e+02
4.950000000000000000e+02 3.188967619896316137e+02
4.960000000000000000e+02 -3.220829252344958604e+02
4.970000000000000000e+02 4.601963444209109753e+02
4.980000000000000000e+02 4.457900696156736444e+02
