# realization, S_1/2
4.690000000000000000e+02 7.725053610448510153e+04
4.700000000000000000e+02 2.038730608040021980e+04
4.710000000000000000e+02 4.873606747610062484e+03
4.720000000000000000e+02 2.210091845487190221e+04
4.730000000000000000e+02 5.627209958787196956e+04
4.740000000000000000e+02 2.930757594077065587e+05
4.750000000000000000e+02 5.203087774514615739e+04
4.760000000000000000e+02 2.354876812692809835e+04
4.770000000000000000e+02 3.713143501392083272e+04
4.780000000000000000e+02 9.216669884177534550e+04
4.790000000000000000e+02 1.988915371053934796e+05
4.800000000000000000e+02 1.666135707779162112e+04
4.810000000000000000e+02 8.823062023927801056e+04
4.820000000000000000e+02 2.871607090808797875e+04
4.830000000000000000e+02 3.406743659967226995e+04
4.840000000000000000e+02 3.030775411325466121e+04
4.850000000000000000e+02 1.648523136914713177e+04
4.860000000000000000e+02 1.032427728147114685e+05
4.870000000000000000e+02 1.316206433228054666e+05
4.880000000000000000e+02 3.790768645463956054e+05
4.890000000000000000e+02 2.462510624773386371e+04
4.900000000000000000e+02 6.653413139439788938e+04
4.910000000000000000e+02 1.569991780136119633e+05
4.920000000000000000e+02 1.837402491847664060e+05
4.930000000000000000e+02 6.870099158933725448e+03
4.940000000000000000e+02 9.416164602270151954e+04
4.950000000000000000e+02 2.975746184077597718e+04
4.960000000000000000e+02 2.658320338207090754e+04
4.970000000000000000e+02 5.454068483288684365e+04
4.980000000000000000e+02 1.754448034262206347e+05
