# realization, C(theta=180) 
7.504300000000000000e+04 2.695083283126350580e+02
7.504400000000000000e+04 9.361224961888540292e+02
7.504500000000000000e+04 3.265450159912908816e+02
7.504600000000000000e+04 -1.364732024500756893e+02
7.504700000000000000e+04 3.410595994867421723e+02
7.504800000000000000e+04 5.740054667978884027e+02
7.504900000000000000e+04 9.960117552880582252e+02
7.505000000000000000e+04 5.820875010350423651e+01
7.505100000000000000e+04 -1.324223898052688071e+02
7.505200000000000000e+04 3.063056885113488192e+02
7.505300000000000000e+04 3.690079219675976105e+02
7.505400000000000000e+04 4.477650829291775381e+01
7.505500000000000000e+04 -1.371530951639437035e+02
7.505600000000000000e+04 1.271615346863216928e+03
7.505700000000000000e+04 4.435011469088099147e+02
7.505800000000000000e+04 1.406190386349173025e+02
7.505900000000000000e+04 1.519766200642621925e+02
7.506000000000000000e+04 -3.523005963981096329e+02
7.506100000000000000e+04 1.176372739420196467e+02
7.506200000000000000e+04 -1.626860571701737967e+02
7.506300000000000000e+04 4.777479085145567410e+02
7.506400000000000000e+04 1.911695949963165049e+02
7.506500000000000000e+04 1.203607954609930175e+02
7.506600000000000000e+04 2.974224698746835429e+02
7.506700000000000000e+04 1.872922263896575146e+01
7.506800000000000000e+04 4.583491488105165672e+02
7.506900000000000000e+04 4.519185529314285077e+02
7.507000000000000000e+04 4.568519881352756329e+00
7.507100000000000000e+04 5.125164053568182680e+02
7.507200000000000000e+04 3.277735178991752036e+02
7.507300000000000000e+04 5.440643363894980666e+02
7.507400000000000000e+04 2.536072102751917612e+02
7.507500000000000000e+04 8.359511636381673725e+02
7.507600000000000000e+04 2.154686670619722406e+02
7.507700000000000000e+04 2.558480823107352364e+01
7.507800000000000000e+04 2.147003202516697229e+02
7.507900000000000000e+04 4.099897725095814849e+02
7.508000000000000000e+04 2.317842914377035584e+02
7.508100000000000000e+04 3.790623076717978961e+02
7.508200000000000000e+04 2.653031495440918661e+02
7.508300000000000000e+04 1.046314946830914607e+02
7.508400000000000000e+04 4.218536235740901361e+02
7.508500000000000000e+04 2.978583056440440942e+02
7.508600000000000000e+04 7.595939760120404571e+02
7.508700000000000000e+04 8.387669734997147941e+01
7.508800000000000000e+04 -1.245553686272316156e+02
7.508900000000000000e+04 -1.609110684611218289e+02
7.509000000000000000e+04 -1.406846639186394441e+02
7.509100000000000000e+04 2.018877780686783296e+02
7.509200000000000000e+04 1.604408250781172285e+02
7.509300000000000000e+04 4.574308299249153151e+02
7.509400000000000000e+04 -2.204121712872500893e+02
7.509500000000000000e+04 4.057764895851655638e+02
7.509600000000000000e+04 1.061218787502494934e+03
