# realization, C_[ell=3] 
1.255100000000000000e+04 5.543937075674540438e+02
1.255200000000000000e+04 3.789288965111347807e+02
1.255300000000000000e+04 5.351516882140792859e+02
1.255400000000000000e+04 6.651671110938481206e+02
1.255500000000000000e+04 4.349063989498059755e+02
1.255600000000000000e+04 5.291700754974131371e+01
1.255700000000000000e+04 4.967453064876823987e+02
1.255800000000000000e+04 6.828171849799509801e+02
1.255900000000000000e+04 2.586314347772839142e+02
1.256000000000000000e+04 1.376511128798249501e+03
1.256100000000000000e+04 9.640120700523158348e+02
1.256200000000000000e+04 7.050603593928440205e+02
1.256300000000000000e+04 5.315073292011729791e+02
1.256400000000000000e+04 3.758472922559290055e+02
1.256500000000000000e+04 4.086568870527449349e+02
1.256600000000000000e+04 2.814436832710679823e+02
1.256700000000000000e+04 3.563764334295290155e+02
1.256800000000000000e+04 1.401848969258072657e+02
1.256900000000000000e+04 3.811392553457718577e+02
1.257000000000000000e+04 2.864622161998165097e+02
1.257100000000000000e+04 3.014242687440980717e+02
1.257200000000000000e+04 6.909118750155377029e+02
1.257300000000000000e+04 3.216407385905113188e+02
1.257400000000000000e+04 8.999703680573203428e+02
1.257500000000000000e+04 4.270441019672103380e+02
1.257600000000000000e+04 4.632376264638761540e+02
1.257700000000000000e+04 3.237194377306651631e+02
1.257800000000000000e+04 6.308460417710622323e+02
1.257900000000000000e+04 5.164913274959257024e+02
1.258000000000000000e+04 3.093512377404270524e+02
1.258100000000000000e+04 2.128823208567372092e+02
1.258200000000000000e+04 3.215269178448089633e+02
1.258300000000000000e+04 3.885469582866017504e+02
1.258400000000000000e+04 6.827329419161044655e+01
1.258500000000000000e+04 5.485459009995066708e+02
1.258600000000000000e+04 5.048214245197888772e+02
1.258700000000000000e+04 7.752727561759784294e+02
1.258800000000000000e+04 7.870060475960580106e+02
1.258900000000000000e+04 5.138380718825131908e+02
1.259000000000000000e+04 1.110427457604302845e+03
1.259100000000000000e+04 2.409165553465196865e+02
1.259200000000000000e+04 2.996275681812213634e+02
1.259300000000000000e+04 1.140356388964460734e+02
1.259400000000000000e+04 1.057926057391860013e+03
1.259500000000000000e+04 6.129175218447028328e+02
1.259600000000000000e+04 3.983650706705143421e+02
1.259700000000000000e+04 8.094929169453753275e+02
1.259800000000000000e+04 2.558434034967627895e+02
1.259900000000000000e+04 1.983330545198639584e+03
1.260000000000000000e+04 2.709101084093042004e+02
1.260100000000000000e+04 6.851795207045397547e+02
1.260200000000000000e+04 2.158251583755546790e+02
1.260300000000000000e+04 4.847590074144330288e+02
1.260400000000000000e+04 2.087500019638484261e+01
1.260500000000000000e+04 3.543313275942690552e+02
1.260600000000000000e+04 2.745390068302635882e+02
1.260700000000000000e+04 2.504188760259141304e+02
1.260800000000000000e+04 3.355385587496882067e+02
1.260900000000000000e+04 7.901991820027693620e+02
1.261000000000000000e+04 4.409732914002665893e+02
1.261100000000000000e+04 4.224933297895915416e+02
1.261200000000000000e+04 4.690755122815500613e+02
1.261300000000000000e+04 7.824561296476491634e+02
1.261400000000000000e+04 5.111989562169341070e+02
1.261500000000000000e+04 1.979694911085442470e+02
1.261600000000000000e+04 5.354974257354213023e+02
1.261700000000000000e+04 8.100298090249065126e+02
1.261800000000000000e+04 2.041027525811807379e+02
1.261900000000000000e+04 1.090129801338164953e+03
1.262000000000000000e+04 7.618939046127620713e+02
1.262100000000000000e+04 4.348120307556635566e+02
1.262200000000000000e+04 8.952795008451851118e+02
1.262300000000000000e+04 5.902006777614602697e+02
1.262400000000000000e+04 9.220003984806603512e+02
1.262500000000000000e+04 1.646477898222961585e+03
1.262600000000000000e+04 4.401910281511462699e+02
1.262700000000000000e+04 4.763739513878684306e+02
1.262800000000000000e+04 1.101981345099583905e+03
1.262900000000000000e+04 3.862027588801514071e+02
1.263000000000000000e+04 4.714079946612735057e+02
1.263100000000000000e+04 2.124938943148085002e+02
1.263200000000000000e+04 2.124963380963635018e+02
1.263300000000000000e+04 1.046776231582825176e+03
1.263400000000000000e+04 3.871385660880140449e+02
1.263500000000000000e+04 6.750904246899324335e+01
1.263600000000000000e+04 2.119557783568039895e+02
1.263700000000000000e+04 3.201607048365208357e+02
1.263800000000000000e+04 7.291853971087405171e+02
1.263900000000000000e+04 2.098943162655816081e+02
1.264000000000000000e+04 3.971128026071815498e+02
