# realization, S_1/2
1.258700000000000000e+04 3.807896729652828799e+04
1.258800000000000000e+04 2.744542085378988486e+04
1.258900000000000000e+04 1.393390948817094613e+04
1.259000000000000000e+04 9.307149694243537670e+04
1.259100000000000000e+04 1.034467290780473013e+04
1.259200000000000000e+04 6.130583091640725797e+03
1.259300000000000000e+04 2.336604963090360252e+04
1.259400000000000000e+04 6.095074888995113724e+04
1.259500000000000000e+04 8.166731418982705509e+04
1.259600000000000000e+04 5.096991994747362332e+05
1.259700000000000000e+04 3.171815372996698716e+04
1.259800000000000000e+04 4.008563860556170766e+03
1.259900000000000000e+04 3.136308724818145856e+05
1.260000000000000000e+04 3.858701067163900734e+04
1.260100000000000000e+04 3.014859256822524912e+04
1.260200000000000000e+04 1.124109102575798352e+04
1.260300000000000000e+04 2.141388590155323254e+04
1.260400000000000000e+04 8.520810845031298231e+04
1.260500000000000000e+04 4.987199663429335487e+04
1.260600000000000000e+04 3.510682119499627879e+04
1.260700000000000000e+04 3.675485179689966753e+04
1.260800000000000000e+04 3.207091955587115372e+05
1.260900000000000000e+04 1.344194351654605125e+05
1.261000000000000000e+04 2.477937710033431067e+05
1.261100000000000000e+04 2.337058230670059565e+05
1.261200000000000000e+04 7.256642581776829320e+04
1.261300000000000000e+04 3.041070014688139054e+04
1.261400000000000000e+04 3.405868849558201327e+04
1.261500000000000000e+04 3.394105671340441768e+04
1.261600000000000000e+04 6.538598313249990315e+04
1.261700000000000000e+04 3.584236812875470059e+04
1.261800000000000000e+04 5.986839572667644097e+04
1.261900000000000000e+04 5.668948195337357902e+04
1.262000000000000000e+04 1.803610888440911731e+04
1.262100000000000000e+04 6.087200221310250527e+03
1.262200000000000000e+04 7.278233341463915713e+04
1.262300000000000000e+04 2.042792788020164880e+04
1.262400000000000000e+04 9.902081851194996852e+04
1.262500000000000000e+04 1.237520369832070282e+05
1.262600000000000000e+04 2.980837381199400261e+04
1.262700000000000000e+04 1.572836580316401087e+05
1.262800000000000000e+04 4.251775307158606302e+04
1.262900000000000000e+04 1.411224927174608274e+04
1.263000000000000000e+04 1.117158991434499330e+05
1.263100000000000000e+04 1.152705376540078141e+05
1.263200000000000000e+04 2.917382380681283394e+04
