# realization, C(theta=180) 
8.754700000000000000e+04 3.219155130092099739e+02
8.754800000000000000e+04 3.978296567242693982e+02
8.754900000000000000e+04 8.583293276094034354e+02
8.755000000000000000e+04 7.825479951562255110e+01
8.755100000000000000e+04 1.606031156564238245e+02
8.755200000000000000e+04 2.607417965291365363e+02
8.755300000000000000e+04 5.316234172710053372e+02
8.755400000000000000e+04 1.909638146760643451e+02
8.755500000000000000e+04 -9.586788070749742019e+01
8.755600000000000000e+04 9.779063904233840958e+02
8.755700000000000000e+04 6.290472595424064366e+02
8.755800000000000000e+04 5.281256942076837504e+02
8.755900000000000000e+04 -3.609222851508395991e+01
8.756000000000000000e+04 -3.695334534531450572e+02
8.756100000000000000e+04 1.968129629731261616e+02
8.756200000000000000e+04 -3.407035950434044480e+01
8.756300000000000000e+04 4.038762835841557575e+01
8.756400000000000000e+04 2.561672151353575941e+02
8.756500000000000000e+04 1.081356872760008230e+02
8.756600000000000000e+04 2.193423555615351006e+02
8.756700000000000000e+04 -1.000993200219349433e+01
8.756800000000000000e+04 4.347471443788828651e+02
8.756900000000000000e+04 6.528818698609538842e+02
8.757000000000000000e+04 -1.814173693081503984e+02
8.757100000000000000e+04 4.320568046625263605e+02
8.757200000000000000e+04 3.807283527051509964e+02
8.757300000000000000e+04 5.228735083328933797e+02
8.757400000000000000e+04 1.777863438674820316e+02
8.757500000000000000e+04 9.188241842054072777e+02
8.757600000000000000e+04 2.395842549228473786e+02
8.757700000000000000e+04 9.630466724227491682e+01
8.757800000000000000e+04 2.703296705321946547e+01
8.757900000000000000e+04 3.927512939113818220e+02
8.758000000000000000e+04 2.875254861374619963e+01
8.758100000000000000e+04 7.555143269549444085e+02
8.758200000000000000e+04 2.216091101069439446e+02
8.758300000000000000e+04 1.635960874116335617e+00
8.758400000000000000e+04 3.631723911635571653e+02
8.758500000000000000e+04 3.194835683161599604e+02
8.758600000000000000e+04 8.196898515685255688e+02
8.758700000000000000e+04 6.917807292348032888e+01
8.758800000000000000e+04 1.447342938512670685e+02
8.758900000000000000e+04 -1.945536887872144689e+02
8.759000000000000000e+04 -1.298420185959127195e+02
8.759100000000000000e+04 2.668253784912566857e+02
8.759200000000000000e+04 3.356802126541593907e+02
8.759300000000000000e+04 5.051970269752908393e+02
8.759400000000000000e+04 -1.554755119298800992e+02
8.759500000000000000e+04 4.614318395994387174e+02
8.759600000000000000e+04 8.839182549160710778e+02
8.759700000000000000e+04 -2.700916130634191745e+02
8.759800000000000000e+04 2.510559377472118854e+02
8.759900000000000000e+04 -2.310554492595290981e+02
8.760000000000000000e+04 3.351542012265317112e+02
8.760100000000000000e+04 1.877054282001421939e+02
8.760200000000000000e+04 6.236984832195084039e+00
8.760300000000000000e+04 1.246496298565262180e+02
8.760400000000000000e+04 5.113972461344247904e+02
8.760500000000000000e+04 2.204739780575372663e+02
8.760600000000000000e+04 1.717474797193372922e+02
8.760700000000000000e+04 1.696973499833812866e+02
8.760800000000000000e+04 8.953814548763034509e+02
8.760900000000000000e+04 5.789464999638619247e+02
8.761000000000000000e+04 9.887368621088252212e+02
8.761100000000000000e+04 1.473287270375669323e+03
8.761200000000000000e+04 4.985115562628267867e+02
8.761300000000000000e+04 2.317880302969852835e+01
8.761400000000000000e+04 -3.411723215456194680e+01
8.761500000000000000e+04 3.814792203480520811e+02
8.761600000000000000e+04 -7.284915094977071703e+01
8.761700000000000000e+04 3.464550212283539850e+02
8.761800000000000000e+04 3.138704175835252954e+02
8.761900000000000000e+04 -2.042640347873019095e+02
8.762000000000000000e+04 3.425627295188735388e+01
8.762100000000000000e+04 1.357065513696977348e+02
8.762200000000000000e+04 -1.306457599700235619e+02
8.762300000000000000e+04 1.229870101663826603e+02
8.762400000000000000e+04 2.066322110822090963e+02
8.762500000000000000e+04 -6.378445670824462468e+02
8.762600000000000000e+04 1.834567700105504287e+02
8.762700000000000000e+04 4.353652021146767197e+02
8.762800000000000000e+04 7.079261710576939493e+01
8.762900000000000000e+04 1.346154409162264756e+02
8.763000000000000000e+04 3.648513130014561057e+02
8.763100000000000000e+04 6.920161700134074181e+02
8.763200000000000000e+04 3.824137133097730157e+02
8.763300000000000000e+04 -2.259732945094922343e+02
8.763400000000000000e+04 1.464748343815593046e+02
8.763500000000000000e+04 2.081874121789620915e+02
8.763600000000000000e+04 3.063032472401102382e+02
8.763700000000000000e+04 3.171850278936225322e+02
8.763800000000000000e+04 3.553857596590948447e+02
8.763900000000000000e+04 4.671394876777483205e+02
8.764000000000000000e+04 -5.009644153097696062e+01
8.764100000000000000e+04 3.317633311385599768e+02
8.764200000000000000e+04 7.260886599162492985e+02
8.764300000000000000e+04 4.826444211210331332e+02
8.764400000000000000e+04 5.370415827803765296e+02
8.764500000000000000e+04 6.813162801051325914e+02
8.764600000000000000e+04 -1.195275449018664631e+02
8.764700000000000000e+04 6.493974170580928558e+02
8.764800000000000000e+04 8.657865976164287076e+02
8.764900000000000000e+04 2.958676683854104681e+02
8.765000000000000000e+04 2.241809145609457232e+02
8.765100000000000000e+04 5.928841652898722714e+02
8.765200000000000000e+04 8.178024120842571847e+02
8.765300000000000000e+04 4.139367613008893727e+02
8.765400000000000000e+04 6.434872482382978660e+02
