# realization, C_[ell=3] 
6.258300000000000000e+04 3.280046366303959644e+02
6.258400000000000000e+04 2.718174143594131351e+02
6.258500000000000000e+04 5.790800141321218462e+02
6.258600000000000000e+04 5.149722057697384798e+02
6.258700000000000000e+04 7.061429155347801725e+02
6.258800000000000000e+04 7.905110301223159013e+02
6.258900000000000000e+04 6.587916010560702489e+02
6.259000000000000000e+04 9.240422174951733041e+02
6.259100000000000000e+04 4.474563421843743072e+02
6.259200000000000000e+04 2.513448977867961958e+02
6.259300000000000000e+04 1.397061798946697024e+02
6.259400000000000000e+04 8.418109541362050550e+02
6.259500000000000000e+04 5.116407023252969566e+02
6.259600000000000000e+04 3.560015831490372875e+02
6.259700000000000000e+04 7.947539567296579435e+02
6.259800000000000000e+04 2.306606796184294979e+02
6.259900000000000000e+04 1.873786356490003982e+03
6.260000000000000000e+04 3.101023202368929788e+02
6.260100000000000000e+04 8.609441804703882326e+02
6.260200000000000000e+04 4.098911905449269284e+02
6.260300000000000000e+04 5.512670013645956715e+02
6.260400000000000000e+04 1.209328493256553401e+02
6.260500000000000000e+04 3.936629924228603841e+02
6.260600000000000000e+04 2.979464041026880068e+02
6.260700000000000000e+04 2.079219241154558233e+02
6.260800000000000000e+04 2.985443863610047970e+02
6.260900000000000000e+04 7.412820469198611590e+02
6.261000000000000000e+04 5.841417934626048236e+02
6.261100000000000000e+04 2.792178911735698534e+02
6.261200000000000000e+04 6.883268478762710174e+02
6.261300000000000000e+04 5.754715914477795877e+02
6.261400000000000000e+04 6.435812071759223727e+02
6.261500000000000000e+04 2.376558879045275035e+02
6.261600000000000000e+04 6.901347499049099952e+02
6.261700000000000000e+04 1.156178521912134329e+03
6.261800000000000000e+04 4.444984380970226425e+02
6.261900000000000000e+04 1.197240367282258148e+03
6.262000000000000000e+04 6.812558902014260411e+02
6.262100000000000000e+04 3.340125542242403753e+02
6.262200000000000000e+04 6.918248635763486618e+02
6.262300000000000000e+04 7.280929442717481379e+02
6.262400000000000000e+04 6.788199410855805809e+02
6.262500000000000000e+04 1.367996298621881579e+03
6.262600000000000000e+04 1.008622137847963018e+03
6.262700000000000000e+04 7.571943220762726696e+02
6.262800000000000000e+04 1.098648846421764119e+03
6.262900000000000000e+04 4.332236843564949140e+02
6.263000000000000000e+04 3.797826855023527628e+02
6.263100000000000000e+04 2.764129916307296639e+02
6.263200000000000000e+04 2.126856577861580035e+02
6.263300000000000000e+04 1.137832735084038177e+03
6.263400000000000000e+04 3.469010298395887730e+02
6.263500000000000000e+04 3.421146616891781633e+01
6.263600000000000000e+04 2.528564161170224338e+02
6.263700000000000000e+04 2.115966121284476742e+02
6.263800000000000000e+04 6.284259154750592415e+02
6.263900000000000000e+04 2.995723465487164390e+02
6.264000000000000000e+04 6.777502161420420634e+02
6.264100000000000000e+04 6.849385175355913589e+02
6.264200000000000000e+04 4.558918456366056375e+02
6.264300000000000000e+04 5.290803745933338860e+02
6.264400000000000000e+04 1.660332597542898156e+02
6.264500000000000000e+04 4.895117564736949589e+02
6.264600000000000000e+04 5.169838634669752082e+02
6.264700000000000000e+04 1.984156805555989820e+02
6.264800000000000000e+04 3.734883984786054612e+02
6.264900000000000000e+04 5.873139803146898430e+02
6.265000000000000000e+04 3.210639060865527199e+02
6.265100000000000000e+04 9.073894453656506585e+02
6.265200000000000000e+04 1.429213000868806773e+02
6.265300000000000000e+04 7.278950674560975358e+02
6.265400000000000000e+04 4.946605353299184458e+02
6.265500000000000000e+04 3.501768157402026418e+02
6.265600000000000000e+04 5.501629018414918164e+02
