# realization, S_1/2
3.764000000000000000e+04 2.520836126020662414e+04
3.764100000000000000e+04 4.945298303849992226e+04
3.764200000000000000e+04 1.075081688719493104e+05
3.764300000000000000e+04 6.363909091025502130e+04
3.764400000000000000e+04 1.514130166981266120e+04
3.764500000000000000e+04 1.553602063362847257e+05
3.764600000000000000e+04 1.976237065276783687e+04
3.764700000000000000e+04 2.508655918133553059e+05
3.764800000000000000e+04 4.210423647002248326e+05
3.764900000000000000e+04 9.994391100091827684e+04
3.765000000000000000e+04 2.408106523389711583e+04
3.765100000000000000e+04 2.496948746575269324e+05
3.765200000000000000e+04 9.187379393569777312e+04
3.765300000000000000e+04 7.700169924670951150e+04
3.765400000000000000e+04 1.364730448242958300e+04
3.765500000000000000e+04 3.804586623589202645e+04
3.765600000000000000e+04 8.575893752988919732e+04
3.765700000000000000e+04 9.068250559323178095e+03
3.765800000000000000e+04 3.782956959173224459e+04
3.765900000000000000e+04 1.144780845062756125e+05
3.766000000000000000e+04 7.380275635720946593e+04
3.766100000000000000e+04 3.256032136372637615e+04
3.766200000000000000e+04 1.650148199544092495e+04
3.766300000000000000e+04 9.169127324776412934e+03
3.766400000000000000e+04 8.108831941579167324e+04
3.766500000000000000e+04 4.244667643944164593e+04
3.766600000000000000e+04 3.314484454628351523e+04
3.766700000000000000e+04 5.863452585160933813e+04
3.766800000000000000e+04 5.420220675939319335e+04
3.766900000000000000e+04 2.916846348041782621e+05
3.767000000000000000e+04 3.122335946319008872e+04
3.767100000000000000e+04 6.369246096500170097e+04
3.767200000000000000e+04 2.673935555006960567e+04
3.767300000000000000e+04 4.429685480000497046e+04
3.767400000000000000e+04 1.838804122528236621e+04
3.767500000000000000e+04 6.569579579834184551e+04
3.767600000000000000e+04 5.870045647589809960e+04
3.767700000000000000e+04 9.138857093318396073e+04
3.767800000000000000e+04 1.027891760614140003e+04
3.767900000000000000e+04 1.442377104880791376e+04
3.768000000000000000e+04 2.939148946077582877e+03
3.768100000000000000e+04 6.677570625427638333e+03
3.768200000000000000e+04 1.629023882204580150e+04
3.768300000000000000e+04 8.879077461457643949e+03
3.768400000000000000e+04 3.369049870890921011e+04
3.768500000000000000e+04 4.815823330249794526e+04
3.768600000000000000e+04 4.108000498248701660e+03
3.768700000000000000e+04 3.403940114825976252e+03
3.768800000000000000e+04 1.829134821874169211e+04
3.768900000000000000e+04 8.795264923715802142e+05
3.769000000000000000e+04 1.106216437366271712e+05
3.769100000000000000e+04 3.526719575182406697e+04
3.769200000000000000e+04 1.869076067650462937e+04
3.769300000000000000e+04 1.423635955026383817e+04
3.769400000000000000e+04 5.149591588168424641e+04
3.769500000000000000e+04 5.781705883704651205e+04
3.769600000000000000e+04 3.016939820089377099e+04
3.769700000000000000e+04 5.381124447445189435e+04
