# realization, C(theta=180) 
7.505300000000000000e+04 4.127099147180003911e+02
7.505400000000000000e+04 3.153908453777410159e+01
7.505500000000000000e+04 -1.175027096869101229e+02
7.505600000000000000e+04 1.302245130902897927e+03
7.505700000000000000e+04 4.151646206893612430e+02
7.505800000000000000e+04 1.227365354813693159e+02
7.505900000000000000e+04 1.569762343242147722e+02
7.506000000000000000e+04 -3.772048378037181919e+02
7.506100000000000000e+04 1.325776700854789283e+02
7.506200000000000000e+04 -1.668275029687445681e+02
7.506300000000000000e+04 4.842346876711474124e+02
7.506400000000000000e+04 2.344259391456360504e+02
7.506500000000000000e+04 1.439010903942146058e+02
7.506600000000000000e+04 2.966497299146461160e+02
7.506700000000000000e+04 5.111922807890084641e+01
7.506800000000000000e+04 4.209939562067563656e+02
7.506900000000000000e+04 4.605602725791619605e+02
7.507000000000000000e+04 5.041577613070612074e+01
7.507100000000000000e+04 5.137138862497249647e+02
7.507200000000000000e+04 3.492093148543075358e+02
7.507300000000000000e+04 5.602058315348897395e+02
7.507400000000000000e+04 2.694628543888901504e+02
7.507500000000000000e+04 7.753592804770926250e+02
7.507600000000000000e+04 2.246049014756624729e+02
7.507700000000000000e+04 1.638429323386323233e+01
7.507800000000000000e+04 2.079982678747483078e+02
7.507900000000000000e+04 3.703848463450956388e+02
7.508000000000000000e+04 2.591299650977967417e+02
7.508100000000000000e+04 3.927021947298040345e+02
7.508200000000000000e+04 2.895796710571687527e+02
7.508300000000000000e+04 1.125466281497907772e+02
7.508400000000000000e+04 3.774953811060454427e+02
7.508500000000000000e+04 3.148803042788505877e+02
7.508600000000000000e+04 7.542929062363134562e+02
7.508700000000000000e+04 5.308462221000513637e+01
7.508800000000000000e+04 -1.300172811406369533e+02
7.508900000000000000e+04 -1.404881839567065072e+02
7.509000000000000000e+04 -1.344688409685929855e+02
7.509100000000000000e+04 2.013664784389089562e+02
7.509200000000000000e+04 1.770302571310432143e+02
7.509300000000000000e+04 4.518463837525388840e+02
7.509400000000000000e+04 -2.016724938044869759e+02
7.509500000000000000e+04 4.480350650425026515e+02
7.509600000000000000e+04 1.041721950961249149e+03
7.509700000000000000e+04 -2.413700497597013452e+02
7.509800000000000000e+04 2.416769317010523537e+02
7.509900000000000000e+04 -2.699992070304374465e+02
